Tag;Gericht;Beilage;Gemüse;kcal;Protein;Fett;Kohlenhydrate;Mengenangaben (2 Personen)
Montag;Putenfilet mit Kräutern;Kartoffeln;Brokkoli;620;45 g;14 g;55 g;400 g Pute, 600 g Kartoffeln, 400 g Brokkoli
Dienstag;Kabeljau aus dem Ofen;Reis;Paprika;590;40 g;12 g;50 g;400 g Kabeljau, 150 g Reis, 2 Paprika
Mittwoch;Hackfleisch-Nudelpfanne;Nudeln;Zucchini;650;42 g;18 g;60 g;300 g Hackfleisch, 200 g Nudeln, 2 Zucchini
Donnerstag;Puten-Reis-Pfanne;Reis;Buttergemüse;610;45 g;13 g;52 g;400 g Pute, 150 g Reis, 500 g Buttergemüse
Freitag;Cordon Bleu;Kartoffeln;Erbsen & Möhren;650;35 g;22 g;50 g;2 Cordon Bleu, 500 g Kartoffeln, 400 g Gemüse
Samstag;Fischfilet;Kartoffelspalten;Blumenkohl;600;38 g;12 g;55 g;400 g Fisch, 600 g Kartoffeln, 1 Blumenkohl
Sonntag;Hackfleischpfanne;Reis;Bohnen;630;40 g;17 g;50 g;300 g Hackfleisch, 150 g Reis, 400 g Bohnen


Tag;Gericht;Beilage;Gemüse;kcal;Protein;Fett;Kohlenhydrate;Mengenangaben (2 Personen)
Montag;Putenfilet Asia;Reis;Brokkoli;610;46 g;12 g;54 g;400 g Pute, 150 g Reis, 400 g Brokkoli
Dienstag;Kabeljau mit Kräutern;Kartoffeln;Romanesco;590;40 g;10 g;50 g;400 g Kabeljau, 600 g Kartoffeln, 1 Romanesco
Mittwoch;Hackfleisch Bowl;Reis;Mais & Paprika;650;42 g;18 g;58 g;300 g Hackfleisch, 150 g Reis, 2 Paprika
Donnerstag;Puten-Nudelpfanne;Nudeln;Champignons;620;45 g;14 g;55 g;400 g Pute, 200 g Nudeln, 300 g Champignons
Freitag;Cordon Bleu;Kartoffeln;Kaisergemüse;650;35 g;20 g;52 g;2 Cordon Bleu, 500 g Kartoffeln, 500 g Kaisergemüse
Samstag;Fisch aus dem Ofen;Reis;Spinat;600;39 g;11 g;53 g;400 g Fisch, 150 g Reis, 400 g Spinat
Sonntag;Hackfleischpfanne;Kartoffeln;Karotten;630;41 g;17 g;54 g;300 g Hackfleisch, 600 g Kartoffeln, 400 g Karotten


Tag;Gericht;Beilage;Gemüse;kcal;Protein;Fett;Kohlenhydrate;Mengenangaben (2 Personen)
Montag;Putenfilet;Reis;Erbsen;600;45 g;12 g;50 g;400 g Pute, 150 g Reis, 400 g Erbsen
Dienstag;Kabeljau Pfanne;Kartoffeln;Spargel;590;40 g;11 g;50 g;400 g Kabeljau, 600 g Kartoffeln, 400 g Spargel
Mittwoch;Hackfleischpfanne;Nudeln;Brokkoli;650;42 g;18 g;58 g;300 g Hackfleisch, 200 g Nudeln, 400 g Brokkoli
Donnerstag;Putenstreifen;Reis;Zucchini;610;45 g;13 g;52 g;400 g Pute, 150 g Reis, 2 Zucchini
Freitag;Cordon Bleu;Kartoffeln;Blumenkohl;650;35 g;20 g;50 g;2 Cordon Bleu, 500 g Kartoffeln, 1 Blumenkohl
Samstag;Fischfilet;Kartoffelspalten;Paprika;600;38 g;12 g;55 g;400 g Fisch, 600 g Kartoffeln, 2 Paprika
Sonntag;Hackfleisch Bowl;Reis;Edamame;630;41 g;17 g;54 g;300 g Hackfleisch, 150 g Reis, 300 g Edamame


Tag;Gericht;Beilage;Gemüse;kcal;Protein;Fett;Kohlenhydrate;Mengenangaben (2 Personen)
Montag;Puten-Gemüse-Pfanne;Kartoffeln;Karotten;620;45 g;14 g;55 g;400 g Pute, 600 g Kartoffeln, 400 g Karotten
Dienstag;Kabeljau;Reis;Brokkoli;590;40 g;11 g;50 g;400 g Kabeljau, 150 g Reis, 400 g Brokkoli
Mittwoch;Hackfleisch-Nudeln;Nudeln;Champignons;650;42 g;18 g;60 g;300 g Hackfleisch, 200 g Nudeln, 300 g Champignons
Donnerstag;Putenfilet;Reis;Buttergemüse;610;45 g;13 g;52 g;400 g Pute, 150 g Reis, 500 g Buttergemüse
Freitag;Cordon Bleu;Kartoffeln;Bohnen;650;35 g;20 g;50 g;2 Cordon Bleu, 500 g Kartoffeln, 400 g Bohnen
Samstag;Fischfilet Ofen;Kartoffeln;Romanesco;600;38 g;12 g;55 g;400 g Fisch, 600 g Kartoffeln, 1 Romanesco
Sonntag;Hackfleisch-Reis-Pfanne;Reis;Paprika;630;41 g;17 g;54 g;300 g Hackfleisch, 150 g Reis, 2 Paprika
